"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6290","TS-02,Congratulations Message Validation","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\TS02_congratulationValidation.spec.ts","",""
"","874","S5 Schema Validation","chromium","2026-06-15","passed","2026-06-15","","api\TS5SchemeValidations.spec.ts","",""
"","563","get accounts","Microsoft Edge","2026-06-15","passed","2026-06-15","","api\getAllAccounts.spec.ts","",""
"","783","Account Type & Balance Validation","Microsoft Edge","2026-06-15","passed","2026-06-15","","api\TS-04AccountTypeBalanceValidation.spec.ts","",""
"","5392","TS06 Successful Fund Transfer","chromium","2026-06-15","passed","2026-06-15","","ui\TS06_TransferFunds.spec.ts","",""
"","6103","TS-02,Congratulations Message Validation","chromium","2026-06-15","passed","2026-06-15","","ui\TS02_congratulationValidation.spec.ts","",""
"","6701","TS-08 Before After Balance Comparison","Microsoft Edge","2026-06-14","passed","2026-06-14","","api\TS08_BeforeAfterBalanceComparison.spec.ts","",""
"","5064","Registration","chromium","2026-06-15","passed","2026-06-15","","ui\register.spec.ts","",""
"","451","TS-11 Invalid API Credentials","firefox","2026-06-14","passed","2026-06-14","","api\TS11InvalidApiCredentials.spec.ts","",""
"","647","TS14 API Response Time","webkit","2026-06-14","passed","2026-06-14","","api\TS14_APIResponseTime.spec.ts","",""
"","18955","TS03","firefox","2026-06-14","failed","2026-06-14","","e2e\TS03AccAfterUI.spec.ts","",""
"","5652","TS15 Request Loan","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\TS08RequestLoan.spec.ts","",""
"","4835","TS08 Request Loan","chromium","2026-06-15","passed","2026-06-15","","api\TS08_BeforeAfterBalanceComparison.spec.ts","",""
"","8300","TS13 Account Type 0","webkit","2026-06-14","passed","2026-06-14","","ui\TS13JsonDriven.spec.ts","",""
"","1202","get accounts","chromium","2026-06-15","passed","2026-06-15","","api\getAllAccounts.spec.ts","",""
"","6576","TS06 Successful Fund Transfer","chromium","2026-06-15","passed","2026-06-15","","ui\TS6_TransferFunds.spec.ts","",""
"","6577","TS03","chromium","2026-06-14","passed","2026-06-14","","e2e\TS03AccAfterUI.spec.ts","",""
"","3878","TS-09 Invalid Login","chromium","2026-06-15","passed","2026-06-15","","ui\TS9InvalidLogin.spec.ts","",""
"","959","S5 Schema Validation","Microsoft Edge","2026-06-15","passed","2026-06-15","","api\TS05SchemeValidations.spec.ts","",""
"","359","TS12 Invalid Customer ID","webkit","2026-06-14","passed","2026-06-14","","api\TS12 InvalidCID.spec.ts","",""
"","9577","TS03","webkit","2026-06-14","passed","2026-06-14","","e2e\TS03AccAfterUI.spec.ts","",""
"","2786","TS-09 Invalid Login","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\TS09InvalidLogin.spec.ts","",""
"","337","TS12 Invalid Customer ID","Microsoft Edge","2026-06-15","passed","2026-06-15","","api\TS12 InvalidCID.spec.ts","",""
"","6644","TS13 Account Type 0","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\TS13JsonDriven.spec.ts","",""
"","6736","Registration","webkit","2026-06-14","passed","2026-06-14","","ui\register.spec.ts","",""
"","10071","TS06 Successful Fund Transfer","webkit","2026-06-14","passed","2026-06-14","","ui\TS06_TransferFunds.spec.ts","",""
"","7103","TS15 Request Loan","chromium","2026-06-15","passed","2026-06-15","","api\TS08_BeforeAfterBalanceComparison.spec.ts","",""
"","654","S5 Schema Validation","chromium","2026-06-15","passed","2026-06-15","","api\TS05SchemeValidations.spec.ts","",""
"","835","TS-04 Account Type & Balance Validation","Microsoft Edge","2026-06-14","passed","2026-06-14","","api\TS-04AccountTypeBalanceValidation.spec.ts","",""
"","7540","TS-01 Account Creation","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\TS01_accountCreation.spec.ts","",""
"","6472","TS07 Balance Updated After Transfer","chromium","2026-06-15","passed","2026-06-15","","e2e\TS07_BalanceUpdatedAfterTransfer.spec.ts","",""
"","6177","Account Exists in API After UI Creation","Microsoft Edge","2026-06-15","passed","2026-06-15","","e2e\TS03AccAfterUI.spec.ts","",""
"","6084","TS07 Balance Updated After Transfer","Microsoft Edge","2026-06-15","passed","2026-06-15","","e2e\TS07_BalanceUpdatedAfterTransfer.spec.ts","",""
"","138","TS07 Balance Updated After Transfer","firefox","2026-06-14","failed","2026-06-14","","e2e\TS07_BalanceUpdatedAfterTransfer.spec.ts","",""
